"","PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
"118","Hardoi",31,"SC","Uttar Pradesh [2000 Onwards]","Anshul Verma","Bharatiya Janta Party",1714387,972894,"56.80%",81343,"8.40%"
"119","Hardwar",5,"GEN","Uttarakhand","Ramesh Pokhriyal Nishank","Bharatiya Janta Party",1642873,1175692,"71.60%",177822,"15.10%"
"120","Hathras",16,"SC","Uttar Pradesh [2000 Onwards]","Rajesh Kumar Diwaker","Bharatiya Janta Party",1758927,1049273,"59.70%",326386,"31.10%"
"121","Haveri",10,"GEN","Karnataka","Udasi Shivakumar Channabasappa","Bharatiya Janta Party",1558749,1115968,"71.60%",87571,"7.80%"
"122","Hazaribagh",14,"GEN","Jharkhand","Jayant Sinha","Bharatiya Janta Party",1518831,967152,"63.70%",159128,"16.50%"
"123","Hoshangabad",17,"GEN","Madhya Pradesh [2000 Onwards]","Uday Pratap Singh","Bharatiya Janta Party",1568127,1031175,"65.80%",389960,"37.80%"
"124","Hoshiarpur",5,"SC","Punjab","Vijay Sampla","Bharatiya Janta Party",1485286,961297,"64.70%",13582,"1.40%"
"125","Indore",26,"GEN","Madhya Pradesh [2000 Onwards]","Sumitra Mahajan (TAI)","Bharatiya Janta Party",2115303,1316817,"62.30%",466901,"35.50%"
"126","Jabalpur",13,"GEN","Madhya Pradesh [2000 Onwards]","Rakesh Singh","Bharatiya Janta Party",1711683,1002184,"58.60%",208639,"20.80%"
"127","Jaipur",7,"GEN","Rajasthan","Ramcharan Bohara","Bharatiya Janta Party",1957818,1296806,"66.20%",539345,"41.60%"
"128","Jaipur Rural",6,"GEN","Rajasthan","Rajyavardhan Singh Rathore","Bharatiya Janta Party",1699462,1013691,"59.70%",332896,"32.80%"
"129","Jalaun",45,"SC","Uttar Pradesh [2000 Onwards]","Bhanu Pratap Singh Verma","Bharatiya Janta Party",1903332,1109166,"58.30%",287202,"25.90%"
"130","Jalgaon",3,"GEN","Maharashtra","A.T. Nana Patil","Bharatiya Janta Party",1707933,990332,"58.00%",383525,"38.70%"
"131","Jalna",18,"GEN","Maharashtra","Danve Raosaheb Dadarao","Bharatiya Janta Party",1612054,1066259,"66.10%",206798,"19.40%"
"132","Jalore",18,"GEN","Rajasthan","Devji Patel","Bharatiya Janta Party",1824968,1087272,"59.60%",381145,"35.10%"
"133","Jammu",6,"GEN","Jammu & Kashmir","Jugal Kishore","Bharatiya Janta Party",1848155,1253593,"67.80%",257280,"20.50%"
"134","Jamnagar",12,"GEN","Gujarat","Poonamben Hematbhai Maadam","Bharatiya Janta Party",1470952,852643,"58.00%",175289,"20.60%"
"135","Jamshedpur",9,"GEN","Jharkhand","Bidyut Baran Mahato","Bharatiya Janta Party",1581665,1049140,"66.30%",99876,"9.50%"
"136","Janjgir-Champa",3,"SC","Chhattisgarh","Kamla Patle","Bharatiya Janta Party",1737532,1073347,"61.80%",174961,"16.30%"
"137","Jaunpur",73,"GEN","Uttar Pradesh [2000 Onwards]","Krishna Pratap 'k.P.'","Bharatiya Janta Party",1848842,1007143,"54.50%",146310,"14.50%"
"138","Jhalawar-Baran",25,"GEN","Rajasthan","Dushyant Singh","Bharatiya Janta Party",1669842,1146364,"68.70%",281546,"24.60%"
"139","Jhanjharpur",7,"GEN","Bihar [2000 Onwards]","Birendra Kumar Chaudhary","Bharatiya Janta Party",1650753,941249,"57.00%",55408,"5.90%"
"140","Jhansi",46,"GEN","Uttar Pradesh [2000 Onwards]","Uma Bharati","Bharatiya Janta Party",1932015,1320804,"68.40%",190467,"14.40%"
"141","Jhunjhunu",4,"GEN","Rajasthan","Santosh Ahlawat","Bharatiya Janta Party",1696788,1006465,"59.30%",233835,"23.20%"
"142","Jodhpur",16,"GEN","Rajasthan","Gajendrasingh Shekhawat","Bharatiya Janta Party",1727363,1078598,"62.40%",410051,"38.00%"
"143","Jorhat",12,"GEN","Assam","Kamakhya Prasad Tasa","Bharatiya Janta Party",1234448,931336,"75.50%",102420,"11.00%"
"144","Junagadh",13,"GEN","Gujarat","Chudasama Rajeshbhai Naranbhai","Bharatiya Janta Party",1485543,941378,"63.40%",135832,"14.40%"
"145","Kachchh",1,"SC","Gujarat","Chavda Vinod Lakhamashi","Bharatiya Janta Party",1533782,946240,"61.70%",254482,"26.90%"
"146","Kairana",2,"GEN","Uttar Pradesh [2000 Onwards]","Hukum Singh","Bharatiya Janta Party",1531755,1119324,"73.10%",236828,"21.20%"
"147","Kaiserganj",57,"GEN","Uttar Pradesh [2000 Onwards]","Brij Bhusan Sharan Singh","Bharatiya Janta Party",1711967,943357,"55.10%",78218,"8.30%"
"148","Kangra",1,"GEN","Himachal Pradesh","Shanta Kumar","Bharatiya Janta Party",1258601,799445,"63.50%",170072,"21.30%"
"149","Kanker",11,"ST","Chhattisgarh","Vikram Dev Usendi","Bharatiya Janta Party",1447774,1016943,"70.20%",35158,"3.50%"
"150","Kanniyakumari",39,"GEN","Tamil Nadu","Radhakrishnan P.","Bharatiya Janta Party",1467796,990742,"67.50%",128662,"13.00%"
"151","Kanpur",43,"GEN","Uttar Pradesh [2000 Onwards]","Dr.Murli Manohar Joshi","Bharatiya Janta Party",1611248,835079,"51.80%",222946,"26.70%"
"152","Karauli-Dholpur",10,"SC","Rajasthan","Manoj Rajoria","Bharatiya Janta Party",1549662,845941,"54.60%",27216,"3.20%"
"153","Karnal",5,"GEN","Haryana","Ashwini Kumar","Bharatiya Janta Party",1684321,1193500,"70.90%",360147,"30.20%"
"154","Kaushambi",50,"SC","Uttar Pradesh [2000 Onwards]","Vinod Kumar Sonkar","Bharatiya Janta Party",1738994,910038,"52.30%",42847,"4.70%"
"155","Khajuraho",8,"GEN","Madhya Pradesh [2000 Onwards]","Nagendra Singh","Bharatiya Janta Party",1702794,874477,"51.40%",247490,"28.30%"
"156","Khandwa",28,"GEN","Madhya Pradesh [2000 Onwards]","Nandkumar Singh Chouhan (NANDU BHAIYA)","Bharatiya Janta Party",1759410,1257327,"71.50%",259714,"20.70%"
"157","Khargone",27,"ST","Madhya Pradesh [2000 Onwards]","Subhash Patel","Bharatiya Janta Party",1703271,1152525,"67.70%",257879,"22.40%"
"158","Kheda",17,"GEN","Gujarat","Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH)","Bharatiya Janta Party",1599476,955906,"59.80%",232901,"24.40%"
"159","Kheri",28,"GEN","Uttar Pradesh [2000 Onwards]","Ajay Kumar","Bharatiya Janta Party",1679466,1077868,"64.20%",110274,"10.20%"
"160","Khunti",11,"ST","Jharkhand","Karia Munda","Bharatiya Janta Party",1111852,736955,"66.30%",92248,"12.50%"
"161","Kodarma",5,"GEN","Jharkhand","Ravindra Kr. Ray","Bharatiya Janta Party",1639629,1024906,"62.50%",98654,"9.60%"
"162","Koppal",8,"GEN","Karnataka","Karadi Sanganna Amarappa","Bharatiya Janta Party",1535105,1006508,"65.60%",32414,"3.20%"
"163","Korba",4,"GEN","Chhattisgarh","Dr. Banshilal Mahto","Bharatiya Janta Party",1419610,1052720,"74.20%",4265,"0.40%"
"164","Kota",24,"GEN","Rajasthan","Om Birla","Bharatiya Janta Party",1744539,1154960,"66.20%",200782,"17.40%"
"165","Kurukshetra",2,"GEN","Haryana","Raj Kumar Saini","Bharatiya Janta Party",1498459,1135892,"75.80%",129736,"11.40%"
"166","Kushi Nagar",65,"GEN","Uttar Pradesh [2000 Onwards]","Rajesh Pandey Urf Guddu","Bharatiya Janta Party",1680992,950445,"56.50%",85540,"9.00%"
"167","Ladakh",4,"GEN","Jammu & Kashmir","Thupstan Chhewang","Bharatiya Janta Party",166763,118029,"70.80%",36,"0.00%"
"168","Lakhimpur",14,"GEN","Assam","Sarbananda Sonowal","Bharatiya Janta Party",1430994,1111975,"77.70%",292138,"26.30%"
"169","Lalganj",68,"SC","Uttar Pradesh [2000 Onwards]","Neelam Sonkar","Bharatiya Janta Party",1661483,898655,"54.10%",63086,"7.00%"
"170","Latur",41,"SC","Maharashtra","Dr. Sunil Baliram Gaikwad","Bharatiya Janta Party",1682607,1057156,"62.80%",253395,"24.00%"
"171","Lohardaga",12,"ST","Jharkhand","Sudarshan Bhagat","Bharatiya Janta Party",1119144,651460,"58.20%",6489,"1.00%"
"172","Lucknow",35,"GEN","Uttar Pradesh [2000 Onwards]","Raj Nath Singh","Bharatiya Janta Party",1949956,1033783,"53.00%",272749,"26.40%"
"173","Machhlishahr",74,"SC","Uttar Pradesh [2000 Onwards]","Ram Charitra Nishad","Bharatiya Janta Party",1891969,997902,"52.70%",172155,"17.30%"
"174","Madhubani",6,"GEN","Bihar [2000 Onwards]","Hukm Deo Narayan Yadav","Bharatiya Janta Party",1627969,860453,"52.90%",20535,"2.40%"
"175","Maharajganj",63,"GEN","Uttar Pradesh [2000 Onwards]","Pankaj","Bharatiya Janta Party",1743131,1056078,"60.60%",240458,"22.80%"
"176","Maharajganj",19,"GEN","Bihar [2000 Onwards]","Janardan Singh Sigriwal","Bharatiya Janta Party",1644524,846654,"51.50%",38415,"4.50%"
"177","Mahasamund",9,"GEN","Chhattisgarh","Chandu Lal Sahu (CHANDU BHAIYA)","Bharatiya Janta Party",1515747,1131209,"74.60%",1217,"0.10%"
"178","Mahesana",4,"GEN","Gujarat","Patel Jayshreeben Kanubhai","Bharatiya Janta Party",1498219,1004258,"67.00%",208891,"20.80%"
"179","Mandi",2,"GEN","Himachal Pradesh","Ram Swaroop Sharma","Bharatiya Janta Party",1150408,726094,"63.10%",39856,"5.50%"
"180","Mandla",14,"ST","Madhya Pradesh [2000 Onwards]","Faggan Singh Kulaste","Bharatiya Janta Party",1824424,1218518,"66.80%",110469,"9.10%"
